Product Name,Set,Card Number,Rarity,Variance,Grade,Card Condition,Quantity,Series,File Name
Tyranitar EX ,Ancient Origins,42,Ultra Rare,Holofoil,Ungraded,Near Mint,1,,Tyranitar EX 
Ariados ,Ancient Origins,6,Uncommon,Normal,Ungraded,Near Mint,1,,Ariados 
Baltoy (31),Ancient Origins,31,Common,Normal,Ungraded,Near Mint,1,,Baltoy_31
Baltoy (32),Ancient Origins,32,Common,Normal,Ungraded,Near Mint,1,,Baltoy_32
Beldum ,Ancient Origins,47,Common,Normal,Ungraded,Near Mint,1,,Beldum 
Forest of Giant Plants ,Ancient Origins,74,Uncommon,Normal,Ungraded,Near Mint,1,,Forest of Giant Plants 
Golurk (41),Ancient Origins,41,Common,Normal,Ungraded,Near Mint,1,,Golurk_41
Gyarados (20),Ancient Origins,20,Rare,Normal,Ungraded,Near Mint,1,,Gyarados_20
Larvesta ,Ancient Origins,16,Common,Normal,Ungraded,Near Mint,1,,Larvesta 
Lucky Helmet ,Ancient Origins,77,Uncommon,Normal,Ungraded,Near Mint,1,,Lucky Helmet 
Malamar ,Ancient Origins,46,Common,Normal,Ungraded,Near Mint,1,,Malamar 
Sceptile Spirit Link ,Ancient Origins,80,Uncommon,Normal,Ungraded,Near Mint,1,,Sceptile Spirit Link 
Spinarak ,Ancient Origins,5,Common,Normal,Ungraded,Near Mint,1,,Spinarak 
Unown ,Ancient Origins,30,Common,Normal,Ungraded,Near Mint,1,,Unown 
Wooper ,Ancient Origins,38,Common,Normal,Ungraded,Near Mint,1,,Wooper 
Vaporeon ,Ancient Origins,22,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,,Vaporeon_reverse
Absol ,Astral Radiance,97,Holo Rare,Holofoil,Ungraded,Near Mint,2,Sword and shield,Absol 
Beedrill V ,Astral Radiance,1,Holo Rare,Holofoil,Ungraded,Near Mint,2,Sword and shield,Beedrill V 
Beedrill V (Full Art) ,Astral Radiance,160,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Beedrill_v_fa
Choice Belt (Secret) ,Astral Radiance,211,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Choice_belt_sec 
Darkrai V ,Astral Radiance,98,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Darkrai V 
Darkrai VSTAR ,Astral Radiance,99,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Darkrai VSTAR 
Diancie ,Astral Radiance,68,Holo Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Diancie 
Galarian Mr. Rime V ,Astral Radiance,49,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Galarian Mr. Rime V 
Gardenia's Vigor (Full Art) ,Astral Radiance,184,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Gardenia’s_vigor_fa
Grant (Secret) ,Astral Radiance,203,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Grant_sec
Heatran V ,Astral Radiance,25,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Heatran V 
Heatran VMAX ,Astral Radiance,26,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Heatran VMAX 
Hisuian Decidueye VSTAR ,Astral Radiance,84,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Decidueye VSTAR 
Hisuian Lilligant ,Astral Radiance,16,Holo Rare,Holofoil,Ungraded,Near Mint,2,Sword and shield,Hisuian Lilligant 
Hisuian Lilligant V ,Astral Radiance,17,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Lilligant V 
Hisuian Lilligant VSTAR ,Astral Radiance,18,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Lilligant VSTAR 
Hisuian Samurott ,Astral Radiance,100,Holo Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Samurott 
Hisuian Typhlosion ,Astral Radiance,52,Holo Rare,Holofoil,Ungraded,Near Mint,2,Sword and shield,Hisuian Typhlosion 
Hisuian Typhlosion V ,Astral Radiance,53,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Hisuian Typhlosion V 
Kamado (Full Art) ,Astral Radiance,187,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Kamado_fa
Lucario V ,Astral Radiance,78,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Lucario V 
Luxray V ,Astral Radiance,50,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Luxray V 
Magnezone ,Astral Radiance,107,Holo Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Magnezone 
Mesprit ,Astral Radiance,66,Holo Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Mesprit 
Miltank ,Astral Radiance,126,Holo Rare,Holofoil,Ungraded,Near Mint,3,Sword and shield,Miltank 
Oranguru V ,Astral Radiance,133,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Oranguru V 
Radiant Greninja ,Astral Radiance,46,Radiant Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Radiant Greninja 
Radiant Hawlucha ,Astral Radiance,81,Radiant Rare,Holofoil,Ungraded,Near Mint,2,Sword and shield,Radiant Hawlucha 
Radiant Heatran ,Astral Radiance,27,Radiant Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Radiant Heatran 
Wyrdeer ,Astral Radiance,69,Holo Rare,Holofoil,Ungraded,Near Mint,2,Sword and shield,Wyrdeer 
Wyrdeer V ,Astral Radiance,134,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Wyrdeer V 
Zisu (Full Art) ,Astral Radiance,189,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Sword and shield,Zisu_fa
Azelf ,Astral Radiance,67,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Azelf 
